Benchmark                 RetTimeMemOff    RetTimeMemOn    RetTimeRegOff    RetTimeRegOn      RetSize  AreaTimeMemOff    AreaTimeMemOn    AreaTimeRegOff    AreaTimeRegOn      AreaSize  CompressTimeMemOff    CompressTimeMemOn    CompressTimeRegOff    CompressTimeRegOn      CompressSize
AES-CFB8-256              +0.010%          +0.023%         +0.004%          +0.018%              4052  +0.011%           +0.024%          +0.005%           +0.019%                4072  +0.018%               +0.032%              +0.008%               +0.023%                        1144
AES-GCM-192               +1.297%          +2.979%         +0.700%          +2.564%              4052  +1.406%           +3.214%          +0.847%           +2.706%                4072  +2.487%               +4.242%              +1.260%               +3.122%                        1144
cubic                     +0.009%          +0.021%         +0.004%          +0.018%               916  +0.010%           +0.023%          +0.005%           +0.018%                 928  +0.018%               +0.030%              +0.008%               +0.021%                         232
aha-mont64                +0.005%          +0.011%         +0.002%          +0.008%               428  +0.005%           +0.012%          +0.002%           +0.008%                 440  +0.008%               +0.015%              +0.003%               +0.010%                         116
AES-CMAC-128              +2.029%          +4.728%         +1.028%          +4.028%              4052  +2.247%           +5.154%          +1.357%           +4.271%                4072  +3.936%               +6.739%              +1.928%               +5.045%                        1144
1                         +0.000%          +0.000%         +0.000%          +0.000%               168  +0.000%           +0.000%          -0.053%           -0.053%                 180  +0.000%               +0.000%              -0.053%               +0.000%                          48
dijkstra                  +0.005%          +0.012%         +0.002%          +0.009%               332  +0.005%           +0.012%          +0.002%           +0.010%                 344  +0.010%               +0.016%              +0.004%               +0.011%                          92
newlib-sqrt               +0.005%          +0.011%         +0.000%          +0.008%               276  +0.005%           +0.011%          +0.001%           +0.006%                 288  +0.010%               +0.016%              +0.003%               +0.008%                          72
miniz                     +0.005%          +0.010%         +0.001%          +0.011%               476  +0.007%           +0.016%          +0.003%           +0.011%                 488  +0.010%               +0.022%              +0.004%               +0.017%                         120
8                         +27.122%         +62.301%        +14.669%         +53.553%              440  +29.350%          +67.460%         +18.316%          +56.461%                452  +52.040%              +88.802%             +26.372%              +65.971%                         92
AES-CFB128-192            +0.010%          +0.023%         +0.005%          +0.019%              4052  +0.011%           +0.025%          +0.006%           +0.020%                4072  +0.019%               +0.033%              +0.009%               +0.024%                        1144
fibcall                   +0.000%          +0.010%         +0.001%          +0.011%               260  +0.011%           +0.011%          +0.011%           +0.019%                 272  +0.011%               +0.023%              +0.011%               +0.023%                          52
18                        +62.035%         +142.522%       +33.520%         +122.384%             728  +67.050%          +154.287%        +41.906%          +129.075%               772  +119.025%             +202.852%            +60.337%              +150.870%                       172
AES-CFB8-192              +0.010%          +0.022%         +0.004%          +0.017%              4052  +0.011%           +0.024%          +0.005%           +0.018%                4072  +0.017%               +0.031%              +0.008%               +0.022%                        1144
sglib-hashtable           +0.004%          +0.010%         +0.002%          +0.009%               380  +0.005%           +0.011%          +0.002%           +0.009%                 424  +0.008%               +0.014%              +0.003%               +0.010%                         104
AES-CFB8-128              +0.010%          +0.022%         +0.004%          +0.018%              4052  +0.011%           +0.024%          +0.005%           +0.019%                4072  +0.018%               +0.032%              +0.008%               +0.022%                        1144
trio-sscanf               +6.544%          +15.031%        +3.537%          +12.909%             4684  +7.070%           +16.277%         +4.420%           +13.619%               4696  +12.556%              +21.404%             +6.367%               +15.917%                       1180
Coremark                  +0.014%          +0.030%         +0.007%          +0.025%              3672  +0.015%           +0.032%          +0.008%           +0.026%                3684  +0.025%               +0.042%              +0.012%               +0.031%                         924
jfdctint                  +0.004%          +0.009%         +0.001%          +0.007%               260  +0.004%           +0.010%          +0.001%           +0.006%                 272  +0.006%               +0.012%              +0.003%               +0.010%                          68
AES-CCM-192               +2.420%          +5.680%         +1.297%          +4.829%              4052  +2.681%           +6.174%          +1.655%           +5.094%                4072  +4.742%               +8.032%              +2.370%               +6.039%                        1144
5                         -0.024%          +0.000%         +0.000%          +0.000%               168  +0.000%           +0.000%          +0.000%           +0.000%                 180  +0.000%               +0.000%              +0.000%               +0.000%                          48
matmult-float             +0.006%          +0.013%         +0.002%          +0.011%               292  +0.006%           +0.013%          +0.002%           +0.010%                 304  +0.010%               +0.017%              +0.004%               +0.012%                          76
AES-CCM-256               +2.343%          +5.511%         +1.258%          +4.693%              4052  +2.606%           +5.994%          +1.604%           +4.946%                4072  +4.599%               +7.808%              +2.297%               +5.851%                        1144
10                        +46.164%         +106.175%       +24.958%         +91.157%              472  +49.943%          +114.918%        +31.193%          +96.167%                324  +88.669%              +151.141%            +44.920%              +112.363%                       124
crc                       +0.004%          +0.010%         +0.002%          +0.009%               260  +0.005%           +0.010%          +0.002%           +0.009%                 272  +0.009%               +0.014%              +0.003%               +0.010%                          68
sglib-queue               +0.002%          +0.005%         +0.000%          +0.004%               644  +0.002%           +0.006%          +0.001%           +0.004%                 656  +0.004%               +0.008%              +0.001%               +0.005%                         164
