| Coremark | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 1364459 |
| Coremark | METHOD_AREA | STORAGE_REG | PRIVILEGED_OFF | 1364459 |
| Coremark | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 1364705 |
| Coremark | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 1364702 |
| Coremark | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 1364703 |
| Coremark | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 1364702 |
| Coremark | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 1364702 |
| Coremark | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 1364702 |
| Coremark | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 1364702 |
| Coremark | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 1364702 |
| Coremark | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 1364702 |
| Coremark | METHOD_AREA | STORAGE_REG | PRIVILEGED_ON | 1364703 |
| Coremark | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 1364694 |
| Coremark | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 1364693 |
| Coremark | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 1364694 |
| Coremark | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 1364695 |
| Coremark | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 1364693 |
| Coremark | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 1364694 |
| Coremark | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 1364693 |
| Coremark | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 1364693 |
| Coremark | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 1364693 |
| Coremark | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_OFF | 1364693 |
| Coremark | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 1364919 |
| Coremark | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 1364933 |
| Coremark | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 1364933 |
| Coremark | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 1364933 |
| Coremark | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 1364919 |
| Coremark | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 1364919 |
| Coremark | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 1364920 |
| Coremark | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 1364919 |
| Coremark | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 1364920 |
| Coremark | METHOD_COMPRESS | STORAGE_MEMORY | PRIVILEGED_ON | 1364933 |
| Coremark | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 1364517 |
| Coremark | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 1364517 |
| Coremark | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 1364518 |
| Coremark | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 1364517 |
| Coremark | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 1364518 |
| Coremark | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 1364518 |
| Coremark | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 1364518 |
| Coremark | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 1364517 |
| Coremark | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 1364517 |
| Coremark | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_OFF | 1364517 |
| Coremark | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 1364778 |
| Coremark | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 1364778 |
| Coremark | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 1364769 |
| Coremark | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 1364769 |
| Coremark | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 1364778 |
| Coremark | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 1364767 |
| Coremark | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 1364769 |
| Coremark | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 1364778 |
| Coremark | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 1364767 |
| Coremark | METHOD_COMPRESS | STORAGE_REG | PRIVILEGED_ON | 1364778 |
| Coremark | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 3672 |
| Coremark | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 3672 |
| Coremark | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 3672 |
| Coremark | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 3672 |
| Coremark | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 3672 |
| Coremark | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 3672 |
| Coremark | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 3672 |
| Coremark | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 3672 |
| Coremark | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 3672 |
| Coremark | METHOD_SHADOW_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 3672 |
| Coremark | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 3684 |
| Coremark | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 3684 |
| Coremark | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 3684 |
| Coremark | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 3684 |
| Coremark | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 3684 |
| Coremark | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 3684 |
| Coremark | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 3684 |
| Coremark | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 3684 |
| Coremark | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 3684 |
| Coremark | METHOD_AREA_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 3684 |
| Coremark | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 924 |
| Coremark | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 924 |
| Coremark | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 924 |
| Coremark | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 924 |
| Coremark | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 924 |
| Coremark | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 924 |
| Coremark | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 924 |
| Coremark | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 924 |
| Coremark | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 924 |
| Coremark | METHOD_COMPRESS_SIZE | STORAGE_MEMORY | PRIVILEGED_OFF | 924 |
| Coremark | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 1553 |
| Coremark | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 1527 |
| Coremark | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 1549 |
| Coremark | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 1527 |
| Coremark | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 1553 |
| Coremark | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 1527 |
| Coremark | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 1527 |
| Coremark | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 1553 |
| Coremark | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 1553 |
| Coremark | METHOD_COUNT | STORAGE_MEMORY | PRIVILEGED_OFF | 1551 |
| Coremark | METHOD_DEFAULT | STORAGE_MEMORY | PRIVILEGED_OFF | 1364348 |
| Coremark | METHOD_DEFAULT | STORAGE_MEMORY | PRIVILEGED_OFF | 1364348 |
| Coremark | METHOD_DEFAULT | STORAGE_MEMORY | PRIVILEGED_OFF | 1364348 |
| Coremark | METHOD_DEFAULT | STORAGE_MEMORY | PRIVILEGED_OFF | 1364348 |
| Coremark | METHOD_DEFAULT | STORAGE_MEMORY | PRIVILEGED_OFF | 1364348 |
| Coremark | METHOD_DEFAULT | STORAGE_MEMORY | PRIVILEGED_OFF | 1364348 |
| Coremark | METHOD_DEFAULT | STORAGE_MEMORY | PRIVILEGED_OFF | 1364348 |
| Coremark | METHOD_DEFAULT | STORAGE_MEMORY | PRIVILEGED_OFF | 1364348 |
| Coremark | METHOD_DEFAULT | STORAGE_MEMORY | PRIVILEGED_OFF | 1364348 |
| Coremark | METHOD_DEFAULT | STORAGE_MEMORY | PRIVILEGED_OFF | 1364348 |
